idProposicao,siglaTipo,nomeProposicao,ementa,dataApresentacao,casaOrigem,nomeAutor,regimeTramitacao,descricaoSituacao,urlInteiroTeor
2236299,REQ,REQ 13/2020,"Requer Voto de Louvor ao jovem Agrício Caxias Pereira, pela sua história de superação e mérito de aprovação em dois vestibulares na Universidade do Estado do Amazonas (UEA). NA",2020-02-03T16:04:00Z,CD,Capitão Alberto Neto,,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853746
2236300,REQ,REQ 14/2020,"Requer Voto de Louvor ao Capitão de Mar e Guerra LOPES DA CRUZ, por assumir honroso cargo de Comandante da Flotilha do Amazonas. NA",2020-02-03T16:05:00Z,CD,Capitão Alberto Neto,,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853748
2236301,REQ,REQ 15/2020,"Requer Voto de Louvor aos integrantes da Equipe de Força Tática que, agiram prontamente durante resgate e conseguiram retirar com vida um casal de idosos que estava sendo feito de refém em sua casa. NA",2020-02-03T16:05:00Z,CD,Capitão Alberto Neto,,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853750
2236302,REQ,REQ 16/2020,"Requer Voto de Louvor ao Coronel Aviador ALEXANDER SANTOPIETRO DE SOUSA, por assumir o Comando do CINDACTA IV, em Manaus - Amazonas. NA",2020-02-03T16:06:00Z,CD,Capitão Alberto Neto,,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853752
2236303,INC,INC 2/2020,"Sugere a adoção de medidas para a redução do preço do milho vendido pela Conab no âmbito do Programa de Vendas em Balcão (ProVB), no estado do Amazonas. ",2020-02-03T16:09:00Z,CD,Capitão Alberto Neto,,Aguardando Resposta ,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853754
2236304,INC,INC 3/2020,"Sugere a equiparação das alíquotas no Imposto sobre Produtos Industrializados (IPI) incidente sobre perfumes e águas-de-colônia ou a revisão da redação do Capítulo 33, relativamente à posição 33.03 do anexo ao Decreto n° 435, de 1992, que aprova as Notas Explicativas do Sistema Harmonizado de Designação e de Codificação de Mercadorias, para que a classificação fiscal daquelas mercadorias corresponda aos critérios adotados pela Anvisa. ",2020-02-03T16:11:00Z,CD,Capitão Alberto Neto,,Aguardando Resposta ,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853756
2236305,REQ,REQ 17/2020,"Requer a realização de Sessão Solene em homenagem a um ano de ""CANONIZAÇÃO DA IRMÃ DULCE, primeira Santa brasileira"". NA",2020-02-03T16:12:00Z,CD,Carmen Zanotto,,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853758
2236306,REQ,REQ 18/2020,"Requer a realização de Sessão Solene em homenagem  ao ""Ano  Internacional da Enfermeira e da parteira e ao Dia Internacional da Enfermagem"". NA",2020-02-03T16:13:00Z,CD,Carmen Zanotto,,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853760
2236307,PDL,PDL 5/2020,"Susta a Portaria Nº 1.469, de 22 de agosto de 2019, do Ministro de Estado da Educação. ",2020-02-03T16:13:00Z,CD,Margarida Salomão,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853762
2236308,PDL,PDL 6/2020,"Susta a Portaria Nº 2.227, de 31 de dezembro de 2019, Ministro de Estado da Educação, que ""Dispõe sobre os procedimentos para afastamento da sede e do país e concessões de diárias e passagens em viagens nacionais e internacionais, a serviço, no âmbito do Ministério da Educação. ",2020-02-03T16:13:00Z,CD,Margarida Salomão,,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853764
2236309,REQ,REQ 19/2020,Requer a realização de Sessão Solene da Câmara dos Deputados para celebrar os 120 anos da Fiocruz. NA,2020-02-03T16:28:00Z,CD,Hiran Gonçalves,,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853768
2236310,PL,PL 16/2020,"Dispõe sobre a microgeração e minigeração distribuída de energia elétrica e o sistema de compensação de energia elétrica. Altera a Lei nº 12.431, de 2011.",2020-02-03T16:37:00Z,CD,José Medeiros,,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853769
2236311,PL,PL 17/2020,"Altera a Lei nº 8.666, de 21 de junho de 1993, para dispor sobrea a aquisição de armamento para atender aos princípios, diretrizes e objetivos da Política Nacional de Segurança Pública e Defesa Social de que trata a Lei nº 13.675, de 11 de junho de 2018. ",2020-02-03T16:38:00Z,CD,José Medeiros,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853771
2236312,REQ,REQ 20/2020,"Requer a retirada de tramitação do Projeto de Lei nº 5446, de 2019. NA",2020-02-03T16:39:00Z,CD,José Medeiros,,Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853773
2236313,RIC,RIC 15/2020,"Requer informações do Ministro da Educação, Sr. Abraham Weintraub,  sobre a correção do Exame Nacional do Ensino Médio ocorrido em 03 e 10 de novembro de 2019. ",2020-02-03T16:42:00Z,CD,Maria do Rosário,,Aguardando Remessa ao Arquivo,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853776
2236314,RIC,RIC 16/2020,"Requer informações do Ministro das Relações Exteriores, Sr. Ernesto Araújo,  sobre os eventos promovidos pelo Ministério das Relações Exteriores no dia e na semana da Posse do Presidente e do Vice-Presidente da República, em 1º de janeiro de 2019. ",2020-02-03T16:43:00Z,CD,Maria do Rosário,,Aguardando Remessa ao Arquivo,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853778
