idProposicao,uri,dataApresentacao,siglaTipo,codTipo,numero,ano,nomeProposicao,indTramitando
141188,http://legis.senado.gov.br/dadosabertos/materia/141188,2020-03-24,PLP,,00039,2020,PLP 39/2020,Sim
141202,http://legis.senado.gov.br/dadosabertos/materia/141202,2020-03-25,PLP,,00044,2020,PLP 44/2020,Sim
141206,http://legis.senado.gov.br/dadosabertos/materia/141206,2020-03-25,PLP,,00045,2020,PLP 45/2020,Sim
141208,http://legis.senado.gov.br/dadosabertos/materia/141208,2020-03-25,PLP,,00046,2020,PLP 46/2020,Sim
141216,http://legis.senado.gov.br/dadosabertos/materia/141216,2020-03-26,PLP,,00047,2020,PLP 47/2020,Sim
141223,http://legis.senado.gov.br/dadosabertos/materia/141223,2020-03-26,PLP,,00050,2020,PLP 50/2020,Sim
141224,http://legis.senado.gov.br/dadosabertos/materia/141224,2020-03-26,PLP,,00051,2020,PLP 51/2020,Sim
141271,http://legis.senado.gov.br/dadosabertos/materia/141271,2020-03-30,PLP,,00058,2020,PLP 58/2020,Sim
141291,http://legis.senado.gov.br/dadosabertos/materia/141291,2020-03-30,PLP,,00060,2020,PLP 60/2020,Sim
141294,http://legis.senado.gov.br/dadosabertos/materia/141294,2020-03-30,PLP,,00061,2020,PLP 61/2020,Sim
140492,http://legis.senado.gov.br/dadosabertos/materia/140492,2020-02-05,PRM,,00001,2020,PRM 1/2020,Sim
140523,http://legis.senado.gov.br/dadosabertos/materia/140523,2020-02-05,PRS,,00001,2020,PRS 1/2020,Sim
140525,http://legis.senado.gov.br/dadosabertos/materia/140525,2020-02-05,PRS,,00002,2020,PRS 2/2020,Sim
140526,http://legis.senado.gov.br/dadosabertos/materia/140526,2020-02-05,PRS,,00003,2020,PRS 3/2020,Sim
140622,http://legis.senado.gov.br/dadosabertos/materia/140622,2020-02-11,PRS,,00004,2020,PRS 4/2020,Sim
140760,http://legis.senado.gov.br/dadosabertos/materia/140760,2020-02-18,PRS,,00005,2020,PRS 5/2020,Sim
140962,http://legis.senado.gov.br/dadosabertos/materia/140962,2020-03-05,PRS,,00006,2020,PRS 6/2020,Sim
141098,http://legis.senado.gov.br/dadosabertos/materia/141098,2020-03-12,PRS,,00007,2020,PRS 7/2020,Sim
141117,http://legis.senado.gov.br/dadosabertos/materia/141117,2020-03-20,PRS,,00008,2020,PRS 8/2020,Sim
141137,http://legis.senado.gov.br/dadosabertos/materia/141137,2020-03-20,PRS,,00009,2020,PRS 9/2020,Sim
141184,http://legis.senado.gov.br/dadosabertos/materia/141184,2020-03-24,PRS,,00010,2020,PRS 10/2020,Sim
141207,http://legis.senado.gov.br/dadosabertos/materia/141207,2020-03-25,PRS,,00011,2020,PRS 11/2020,Não
141238,http://legis.senado.gov.br/dadosabertos/materia/141238,2020-03-27,PRS,,00012,2020,PRS 12/2020,Sim
140671,http://legis.senado.gov.br/dadosabertos/materia/140671,2020-02-06,R.S,,00001,2020,R.S 1/2020,Não
140854,http://legis.senado.gov.br/dadosabertos/materia/140854,2020-02-13,R.S,,00002,2020,R.S 2/2020,Sim
140857,http://legis.senado.gov.br/dadosabertos/materia/140857,2020-02-20,R.S,,00003,2020,R.S 3/2020,Sim
140814,http://legis.senado.gov.br/dadosabertos/materia/140814,2020-02-20,R.S,,00004,2020,R.S 4/2020,Não
140825,http://legis.senado.gov.br/dadosabertos/materia/140825,2020-03-02,R.S,,00005,2020,R.S 5/2020,Não
140431,http://legis.senado.gov.br/dadosabertos/materia/140431,2020-02-03,REQ,,00001,2020,REQ 1/2020 - CAE,Sim
140944,http://legis.senado.gov.br/dadosabertos/materia/140944,2020-03-04,REQ,,00001,2020,REQ 1/2020 - CTFCGPCC,Sim
140599,http://legis.senado.gov.br/dadosabertos/materia/140599,2020-02-10,REQ,,00001,2020,REQ 1/2020 - CI,Não
140644,http://legis.senado.gov.br/dadosabertos/materia/140644,2020-02-12,REQ,,00001,2020,REQ 1/2020 - CCT,Sim
140665,http://legis.senado.gov.br/dadosabertos/materia/140665,2020-02-12,REQ,,00001,2020,REQ 1/2020 - CMCVM,Sim
140459,http://legis.senado.gov.br/dadosabertos/materia/140459,2020-02-04,REQ,,00001,2020,REQ 1/2020 - CDR,Não
